,,
Product Code,Product Name,Stock Balance
GAP_618_16,CG Glossworkz Glaze (16oz),0
52,CP Suede MF 10*10cm,0
,CP Coating Applicator (Orange),0
,CG Blue Applicator,4
WAC_201_16,CG Vintage-Butter Wet Wax (16 oz),0
WAC21016,CG Extream Top Coat Carnauba Wax And Sealant (16 oz),1
CLD_201_16,CG Orange Degreaser Plus (16oz) Ratio Upto 1:15,1
CLD_101_16,CG Citrus New All Purpose Cleaner (16oz) Ratio upto 1:20,0
TVD11516,"CG Trim Clean Wax and Oil Remover For Trim, Tires & Rubber",1
ACC-138,CG Dillution Bottle With Sprayer (16oz),0
CWS_201,CG Heavy Duty Water Spot Remover (16oz),1
TVD_109_16,CG Silk Shine Dressing (16oz),0
SPI_216_16,CG Leather Quick Detailer (16oz),1
SPI_401_16,CG Vintage Leather Conditioner (16 oz),0
AIR_401,CG Vent Clip Air Freshener - Black Frost,0
PMWSPI22050,CG Total Interior Cleaner & Protectant Wipes (50 Wipes),2
AIR_402,CG Vent Clip Air Freshener - Tropical Scent,1
AIR_069_04,CG Signature Scent Air Freshener And Odor Eliminator (4oz),1
AIR_224_04,CG Black Frost Air Freshener And Odor Eliminator (4oz),1
AIR_229_04,CG Pina Colada Scent Air Freshener And Odor Eliminator (4oz),1
AIR_102_16,CG Leather Scent Air Freshener And Odor Eliminator (16oz),1
AIR_224_16,CG Black Frost Air Freshener And Odor Eliminator (16oz),0
AIR_101_16,CG New Car Scent Air Freshener And Odor Eliminator (16oz),1
AIR_069_16,CG Signature Scent Air Freshener And Odor Eliminator (16oz),1
AIR_231_16,CG Vanilla Bean Scent Air Freshener And Odor Eliminator (16oz),1
AIR_222_16,CG Purple Stuff Grape Soda Scent Air Freshener And Odor Eliminator (16oz),1
AIR_228_16,CG Fresh Cherry Blast Air Freshener And Odor Eliminator (16oz),1
AIR_229_16,CG Pina Colada Scent Air Freshener And Odor Eliminator (16oz),1
AIR_220_16,CG Honeydew Cantaloupe Scent Air Freshener And Odor Eliminator (16oz),1
SPI22116,CG Extreme Offensive Leather Scented Odor Eliminator (16oz),1
AIR_223_16,CG Strawberry Margarita Air Freshener And Odor Eliminator (16oz),1
AIR_236_16,CG Rides And Coffee Air Freshener And Odor Eliminator (16oz),1
AIR_226_16,CG Mangocello Mango Lemon Fusion Scent Air Freshener And Odor Eliminator (16oz),1
AIR_232_16,CG Zesty Lemon & Lime Air Freshener And Odor Eliminator (16oz),1
AIR_230_16,CG Morning Wood Sandal Wood Scent Air Freshener And Odor Eliminator (16oz),0
AIR_254_16,CG Happy Trail Outdoor Pine Scent Air Freshener And Odor Eliminator (16oz),1
AIR_230_16,CG JDM Squash Scent Air Freshener And Odor Eliminator (16oz),0
MIC10203,"CG Ultra Fine Microfiber Towel, Blue 15"" x 15"" Pack of 3",1
MIC_402,CG Waterproof 4 In 1 Microfiber Premium Wash Mitt,2
NAM-TE380B,"NS Traditional Blue Edgeless Microfiber Towel (Blue 16"" * 16"")",10
NA-CSS16,NS Cherry Suds Wash & Shine Shampoo 1:127 (16oz),4
NA-WAT16,NS WATERLESS Wash ~ 4:1 / Spray Wax RTU,3
NA-QSE16,NS Quick Shine Quick Detailer Spray RTU (16oz),2
NA-CCR16,NS Crystal-Clear VOC Free Glass Cleaner (16oz),1
NA-BDS16,NS Blue Dress Premium Dressing Silicone (16oz) upto 1:5,2
83-016,"NS Angled Head Bristles Brush Green 20""",0
83-017,"NS Angled Head Bristles Brush Salt & Pepper 20""",1
85-590,"NS 6"" Horsehair Brush",1
DS50,CP Descale Shampoo (500ml),1
30,CP Reset Car Shampoo (500ml) ( 1:500 Ratio ),2
MX50,CP Multi.X Cleaner (500ml),1
17991,CP Eraser (1L),3
CC1L,CP Clear Cut Polish Compound (1kg) p1000 Grit Cut,1
ES1L,CP Essence SiO2 Based Polish & Primer (1L),1
esp25,CP Essence Plus SiO2 Based Jeweling Coat (250ml),1
127,CP CeriGlass Polish 500ml,0
131,CP PERL Coating (500ml) Ratio (Upto 1:10) Water Based SiO2 Multi Use Dressing,2
10cqk100,CP C. Quartz UK 3.0 (100ml) {2 Years + Life},0
EL50,CP Elixer Quick Detailer Spray (500ml),1
DHB,CP Dhydrate Drying Towel 28x40 Inches 1000 GSM,1
5501,CP Flash Cutting Pad Pad 5.5 Inch,0
MS-DD2,MS Wool Duster (Large),5
,62,75